,food,green,wood,paper_cardboard,textiles,total
1990-01-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-02-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-03-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-04-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-05-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-06-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-07-01,0.0,0.0,0.0,0.0,0.0,0.0
1990-08-01,2514.494427292007,601.5664312630665,755.2634009387289,1606.1231194804232,201.5664176123347,5679.013796586561
1990-09-01,7063.696372488075,1689.937419480023,2121.7635358445937,4512.146636176024,566.2763540615391,15953.820318050255
1990-10-01,9712.285741132002,2324.0680075488535,2919.1262871713925,6209.090899251058,779.40321599578,21943.974151099086
1990-11-01,11801.890471565062,2824.692796400781,3549.441024202406,7551.400909247516,948.100092277028,26675.525293692797
1990-12-01,14588.339833426522,3492.3196324100745,4390.155205544232,9341.919334112565,1173.1445228788266,32985.878528372225
1991-01-01,17050.678285588183,4082.6444076178414,5134.4183516296125,10927.970593128957,1372.6095964408153,38568.32123440541
1991-02-01,17615.235718630476,4218.712414470243,5307.781508204173,11299.342034956879,1419.5562816873667,39860.62795794914
1991-03-01,19427.921254413224,4654.621541647571,5860.71562061107,12481.228822993864,1568.6403596422908,43993.12759930802
1991-04-01,21076.428149947293,5050.671266216378,6362.148362713615,13552.045656738494,1703.5911227455774,47744.88455836136
1991-05-01,24204.151200010907,5801.325809719139,7310.598412416166,15575.416297791944,1958.330410860018,54849.82213079818
1991-06-01,25678.999437259205,6156.151933573725,7761.096039247346,16538.80084051538,2079.910643659765,58214.958894255426
1991-07-01,28940.636470833044,6939.438580241904,8752.025138166886,18654.129273738505,2346.3957015694455,65632.62516454978
1991-08-01,31332.492884972424,7514.533665492826,9481.310874968554,20212.78319411358,2542.9853315624596,71084.10595110984
1991-09-01,34833.902951711105,8354.385999904089,10541.260551819983,22472.77083342562,2827.3595949699093,79029.6799318307
1991-10-01,38290.47958525137,9185.240945113324,11594.281348206821,24722.696256837928,3111.0598971845493,86903.75803259399
1991-11-01,39341.011478796674,9439.209066256979,11919.833503373779,25422.20131243919,3199.7560492598113,89322.01141012645
1991-12-01,42928.724561790485,10302.086333757998,13014.714670409618,27762.935355346395,3495.079673629058,97503.54059493357
1992-01-01,45147.27743934424,10836.74470085081,13695.855602496851,29222.05020747791,3679.5389127303188,102581.46686290012
1992-02-01,44410.95026896023,10662.198905623567,13480.832983018941,28769.242439536534,3623.2773252873394,100946.50192242663
1992-03-01,47286.06733413365,11356.956623262045,14370.637293907126,30680.312766539155,3865.493873753603,107559.46789159557
1992-04-01,50352.010170239344,12093.250609075172,15302.1916749633,32669.045590154095,4116.055644246244,114532.55368867815
1992-05-01,51817.60749153508,12450.350738784819,15766.966684014393,33675.10424693014,4244.550731373298,117954.57989263772
1992-06-01,54718.94823789412,13147.372128205874,16649.501204885517,35559.91783342595,4482.113301333591,124557.85270574504
1992-07-01,56311.654143585605,13535.599284335432,17155.19818199618,36655.002263481816,4622.035981915733,128279.48985531477
1992-08-01,58574.3096789041,14082.359713930162,17855.529039359622,38159.2843346398,4812.719965328922,133484.2027321626
1992-09-01,61138.672602538645,14698.870597474037,18637.282961689936,39830.13100662724,5023.476641507964,139328.43380983782
1992-10-01,65348.13995486708,15132.91176362702,19932.325741117824,41056.71866402174,5374.69179948129,146844.78792311496
1992-11-01,65402.45192527378,15730.27332432598,19961.1502646228,42676.72510346527,5384.691495200783,149155.29211288865
1992-12-01,69736.02521762068,16775.864448430024,21296.4029989887,43990.97496775065,5747.1830639198515,157546.4506967099
1993-01-01,72149.00406393324,17359.866444511645,22046.798559510364,47154.931087644945,5952.14726291136,164662.74741851157
1993-02-01,67164.47851459483,16163.834099774846,20536.29707352424,43933.2791829014,5546.646348222789,153344.53521901811
1993-03-01,74075.99991950185,17834.003128150478,22675.650243379077,48528.60535860023,6129.164045642944,169243.42269527458
1993-04-01,73731.23372290528,17754.74268138477,22584.455805176745,48343.76412620506,6107.12867190943,168521.32500758127
1993-05-01,78384.18933332484,18878.777004144547,24023.450849220862,51433.96530352418,6498.7649005439325,179219.14739075836
1993-06-01,77882.72831663283,18761.94577206621,23884.89622090661,51148.227450974875,6464.046121396339,178141.84388197685
1993-07-01,82656.41636829186,19915.69886638951,25363.367103346493,54324.75198079241,6866.820243268969,189127.05456208927
1993-08-01,84820.64833028047,20441.294403225053,26043.347238801627,55792.63479807039,7053.8218941849,194151.74666456244
1993-09-01,86377.28575947593,20816.434398092377,26521.464207458706,56817.26582013138,7183.42629173,197715.87647688837
1993-10-01,91333.54143859842,22015.150004270236,28059.723922335572,60124.607649586775,7603.089130537379,209136.11214532837
1993-11-01,90455.48382582993,21807.887568433478,27806.83675796062,59594.93429294575,7537.660708989963,207202.80315415974
1993-12-01,95530.39660215256,23035.869359985336,29384.126813107414,62987.7964427564,7968.379992354295,218906.56921035598
1994-01-01,97649.73731020422,23551.642849644275,30054.20312933086,64437.33493378011,8153.432133037044,223846.3503559965
1994-02-01,90105.89420966739,21736.53445201651,27749.165642212647,59507.39270576411,7531.179664703328,206630.16667436395
1994-03-01,99378.18858776006,23982.516834778253,30639.913923899185,65731.73754034715,8322.116234608518,228054.47312139315
1994-04-01,98119.7885058579,23683.735764350327,30270.8409057819,64953.66053810256,8225.350654022006,225253.3763681147
1994-05-01,103489.12448144323,24984.409951746544,31945.278456151595,68559.61117905707,8683.648572122465,237662.07264052093
1994-06-01,102081.25512780852,24649.61118873456,31530.347322263,67683.34848308851,8574.478571512054,234519.04069340666
1994-07-01,107565.85184413471,25978.7965454566,33243.02978768725,71373.34219462897,9043.673548946477,247204.69392085398
1994-08-01,109624.52829497933,26481.263646942207,33899.621595584395,72797.8414311753,9226.058017614108,252029.31298629538
1994-09-01,110279.3229393815,26639.268947745895,34101.743675393955,73232.04012721748,9281.131518555623,253533.50720829447
1994-10-01,115931.01966937797,28009.865748548058,35870.17859267352,77044.768676161,9766.26840620509,266622.1010929657
1994-11-01,114158.62382008723,27587.095465467508,35342.9062081939,75927.61583473181,9626.61983465147,262642.8611631319
1994-12-01,119923.19063980987,28985.67065939992,37149.029028460456,79823.33718872195,10122.540181574983,276003.76769796724
1995-01-01,121939.1651416955,29478.74789674981,37796.05764787967,81230.03424640997,10303.023272905753,280747.0282056407
1995-02-01,111951.76485857366,27069.627046492562,34721.05294823093,74636.39506522362,9468.627725531087,257847.46764405185
1995-03-01,123472.095787206,29866.664706224605,38338.09230150652,82443.20089173944,10463.03819883849,284583.091885515
1995-04-01,121337.66677772379,29356.35066330337,37698.578386194524,81084.89052975833,10292.816131716587,279770.30248869665
1995-05-01,127382.53787790616,30824.471790357813,39598.559201186596,85187.49797843219,10815.644248786302,293808.711096669
1995-06-01,125105.92933885564,30279.72493167322,38914.76444662757,83733.90375738709,10633.324028628911,288667.64650317247
1995-07-01,131260.43981645838,31775.102658752854,40851.67475396932,87918.07042094546,11166.780155005392,302972.06780513143
1995-08-01,133218.70875918464,32255.459034285173,41485.682666099274,89300.46825534139,11344.661440060616,307604.98015497107
1995-09-01,133015.64401041775,32205.884114345434,41421.30258637825,89161.684537736,11327.044218792296,307131.5594676697
1995-10-01,139328.86473101127,33740.7989043829,43411.99592578605,93464.86337132148,11876.038595258076,321822.56152775977
1995-11-01,136705.74803568446,33112.003662022005,42619.77568663233,91777.59368782825,11664.002375731177,315879.12344789825
1995-12-01,143126.3340742151,34673.66571904757,44646.86066431574,96161.31251051815,12223.513966218748,330831.6869343153
1996-01-01,144647.68856214004,35049.0206821453,45147.94131296997,97259.96862311411,12365.662291601677,334470.2814719711
1996-02-01,137098.61793792492,33226.2262241411,42816.65735194916,92256.09355543209,11731.817732751824,317129.41280219913
1996-03-01,145974.23473193252,35391.27466316888,45642.77694986844,98384.43993957847,12516.09123526025,337908.81751980854
1996-04-01,145453.0838248679,35263.78562539469,45475.97032571705,98022.89444171137,12469.893598737486,336685.6278164285
1996-05-01,149686.79066809395,36305.08567183808,46857.216552969854,101041.55567695263,12859.178925012102,346749.8274948666
1996-06-01,149030.8059125342,36144.77817707221,46647.778523388675,100587.81300399778,12801.216013023808,345212.3916300167
1996-07-01,153368.64960928998,37212.09294566494,48064.616199059295,103685.46211528193,13200.844567420321,355531.66543671646
1996-08-01,155221.14055158882,37668.782761882925,48673.45236201645,105019.63709800408,13373.382259892413,359956.3950333847
1996-09-01,154272.60774048732,37437.607774658936,48372.79856899778,104369.49619910453,13290.464758436243,357742.9750416848
1996-10-01,161192.92706075936,39124.19214354427,49842.03045226568,109133.18747210455,13899.758876019348,373192.0960046932
1996-11-01,157763.49579012272,38299.10790384093,49523.71363201918,106894.19886915402,13617.305490792376,366097.8216859292
1996-12-01,164785.4244832319,40011.13140549716,51027.90237442171,111735.63955084058,14236.802927283348,381796.9007412747
1997-01-01,167056.03169251204,40570.157407604805,52500.309187331186,113362.92127408728,14447.019524928404,387936.4390864637
1997-02-01,152523.69996805507,37047.99759395066,47961.04958742132,103581.86938855136,13203.159945515381,354317.7764834938
1997-03-01,168219.06216543677,40876.07562066174,52957.35554740355,114416.30935255664,14589.776983501939,391058.57966956066
1997-04-01,164451.35401194973,39968.46106158696,51802.34949698555,111943.80227966198,14277.452234100061,382443.41908428434
1997-05-01,171743.85433206742,41748.210469444624,54128.545946035985,116992.15493932096,14924.102445216762,399536.8681320858
1997-06-01,167847.93485203566,40809.23143519628,52932.38411134711,114430.19220862813,14600.304613097243,390620.0472203044
1997-07-01,175239.2030414946,42613.78677466109,55292.88202626702,119555.0752094986,15257.029470785888,407957.97652270715
1997-08-01,177011.108835357,43052.797650232445,55884.02570682417,120856.96629617305,15426.235193513287,412231.1336820999
1997-09-01,175215.79883731122,42615.062340318225,55313.824558916735,119622.51953011143,15268.576404886137,408035.7816715438
1997-10-01,182756.85297641065,44457.24019498182,57726.36435800183,124863.54259972884,15940.594773266877,425744.59490239003
1997-11-01,178554.74065971564,43443.192792023336,56431.273121100814,122086.08944415383,15589.100870951603,416104.3968879452
1997-12-01,186192.9428867501,45309.81579451486,58877.74424818817,127402.96220221622,16271.123521286683,434054.58865295607
1998-01-01,187928.0945824106,45740.622562974895,59460.27793561199,128688.58329543652,16438.565251596814,438256.1436280308
1998-02-01,171302.09730867136,41701.74216263933,54230.655209154975,117393.10065330242,14998.653267722499,399626.2486014906
1998-03-01,188929.83950869564,46010.680113834766,59880.09257898069,129672.16559704833,16573.835894737545,441066.61369329697
1998-04-01,184415.43631904124,44919.994597973266,58483.797306230255,126674.03349763952,16193.948208705166,430687.2099295895
1998-05-01,192295.5848897766,46847.53075552305,61014.92133858537,132180.26349864216,16900.963791626335,449239.26427415345
1998-06-01,187658.80676556766,45726.760763941915,59578.7589579484,129095.0485363272,16509.852125292637,438569.2271490778
1998-07-01,195633.32272995776,47678.111428190576,62143.13150322095,134675.81802385236,17226.72777253531,457357.11145775695
1998-08-01,197318.80698567914,48097.80381154223,62713.942349107485,135939.2313268285,17391.75569604692,461461.5401692043
1998-09-01,194785.13060790993,47478.70236793046,61903.80277760142,134181.1180734485,17166.658564153797,455515.4123910442
1998-10-01,202895.5636894406,49464.44745793964,64516.44727951859,139870.37894521377,17897.920301151324,474644.7576732639
1998-11-01,197961.22919712495,48270.39277790993,62982.816997762086,136571.87823750853,17479.26923071566,463265.5864410211
1998-12-01,206164.072365877,50279.5073612955,65628.22576880302,142334.74709277655,18220.28824237184,482626.840831124
1999-01-01,207814.5949746063,50691.35662713962,66190.72275169988,143582.37124389532,18383.595725911306,486662.6413232524
1999-02-01,189187.98240408232,46156.31534212278,60291.722704638676,130811.32179920553,16751.72874836561,443199.07099841494
1999-03-01,208656.2611558164,50925.53333041098,66572.56718319209,144493.90371254482,18511.0221746414,489159.28755660565
1999-04-01,203424.6261839745,49658.16063180282,64941.16189510601,140981.1507972891,18064.668311763806,477069.7678199362
1999-05-01,211857.85610407055,51725.56022378101,67668.36381713786,146927.87586341606,18830.073232629697,497009.7292410352
1999-06-01,206509.81453342145,50429.426849791045,65998.46263946714,143330.61378167325,18372.77251127861,484641.09031563153
1999-07-01,215032.8094644132,52519.59304415004,68757.76950088324,149349.6753519777,19147.794049936892,504807.64141136105
1999-08-01,216636.08701014426,52920.816997586866,69308.94685148397,150575.74806162296,19308.747324462885,508750.3462453009
1999-09-01,213400.05480592008,52128.32998687042,68267.12143858275,148309.44500455575,19017.87690793169,501122.82814386074
1999-10-01,222052.09789118243,54251.32499234374,71072.98812537316,154433.69624938304,19806.919289563113,521617.02654784545
1999-11-01,216421.2521201445,52885.183808722286,69309.0232499153,150629.54727194662,19322.769167395883,508567.7756181246
1999-12-01,225161.19836693606,55030.51998462499,72146.52728745533,156825.2310477279,20121.32791502213,529284.8046017664
2000-01-01,226111.7350922755,55272.81355978922,72491.07104583883,157604.18893763647,20225.191742481424,531705.0003780215
2000-02-01,212984.8618895781,52073.28609276897,68319.99785929159,148563.8792729393,19068.728499082237,501010.7536136602
2000-03-01,226773.2723454183,55466.424573487624,72829.46909831997,158432.61397944443,20343.475416314606,533845.255412985
2000-04-01,223315.2574766466,54617.44330698817,71707.79328885044,155986.5586062816,20028.758764170147,525655.811442937
2000-05-01,229815.30071336502,56230.23516252934,73885.78131715288,160790.23819935333,20654.01685708402,541375.5722494846
2000-06-01,226246.82417067577,55353.82638941967,72727.02795800655,158262.38218747888,20328.651431045535,532918.7121366264
2000-07-01,232832.19659841247,56988.36281164127,74935.97330357731,163136.14684039232,20963.27157775302,548855.9511317763
2000-08-01,234348.87317458238,57369.81932758214,75465.26780045705,164319.45036995033,21119.389827183033,552622.800499755
2000-09-01,230524.22459309606,56430.59758387152,74223.61394604054,161610.77816106458,20770.74494109159,543559.9592251644
2000-10-01,237234.09943056796,58678.02364401844,77206.98595536815,168137.2416914869,21419.166369657614,562675.517091099
2000-11-01,233382.3227886591,57150.18313437842,75224.17155496424,163849.98874629123,21066.482682250182,550673.1489065433
2000-12-01,240175.38836757818,59418.85774892396,78237.93360132846,170445.40982208768,21724.136456076176,570001.7259959945
2001-01-01,244759.3338952513,59957.02204726477,78975.31944843223,172084.14084441197,22133.497809037206,577909.3140443974
2001-02-01,222409.91963079688,54491.91725087847,71802.98403915181,156485.4230633092,20131.05994004683,525321.3039241832
2001-03-01,245296.8824151185,60122.432382835475,79283.00543537688,172853.4605531672,22245.25614919591,579801.036935694
2001-04-01,238726.70641552433,58522.9183092489,77203.16599896632,168351.97589395387,21670.266710631,564475.0333283244
2001-05-01,248180.28316359612,60850.36699486183,80300.6582959164,175137.05312148805,22547.663115219962,587016.0246910823
2001-06-01,241505.21614958227,59224.67239208364,78185.0569265486,170556.26002780572,21962.295739201043,571433.5012352213
2001-07-01,251039.57769650413,61572.82346043472,81312.35230599939,177409.181974704,22848.80472499378,594182.740162636
2001-08-01,252490.27399128437,61939.51274768697,81826.26528288734,178563.85160318014,23001.908026007513,597821.8116510463
2001-09-01,247950.62155185547,60822.80691009686,80344.70014702679,175325.78257869883,22584.322757707483,587028.2339453853
2001-10-01,257607.9296806466,63202.449613088305,83517.30253736347,182281.82705831248,23484.681851894482,610094.1907413054
2001-11-01,250684.31155293348,61514.51876007863,81316.16260704574,177510.7720618229,22874.345198572002,593900.1101804528
2001-12-01,260421.1576823061,63914.57974184767,84518.26345707738,184534.08914880443,23783.756538620633,617171.8465686563
2002-01-01,261841.7620185273,64274.41633912897,85024.69123920581,185674.32855197936,23935.263710678657,620750.4618595202
